Index,Message,Codeword
0,0000000,0000010000
1,0000001,0000010001
2,0000010,0000010010
3,0000011,0000010011
4,0000100,0000010100
5,0000101,0000010101
6,0000110,0000010110
7,0000111,0000010111
8,0001000,0000011000
9,0001001,0000011001
10,0001010,0000011010
11,0001011,0000011011
12,0001100,0000011100
13,0001101,0000011101
14,0001110,0000011110
15,0001111,0000011111
16,0010000,0000100000
17,0010001,0000100001
18,0010010,0000100010
19,0010011,0000100011
20,0010100,0000100100
21,0010101,0000100101
22,0010110,0000100110
23,0010111,0000100111
24,0011000,0000101000
25,0011001,0000101001
26,0011010,0000101010
27,0011011,0000101011
28,0011100,0000101100
29,0011101,0000101101
30,0011110,0000101110
31,0011111,0000101111
32,0100000,0000110000
33,0100001,0000110001
34,0100010,0000110010
35,0100011,0000110011
36,0100100,0000110100
37,0100101,0000110101
38,0100110,0000110110
39,0100111,0000110111
40,0101000,0000111000
41,0101001,0000111001
42,0101010,0000111010
43,0101011,0000111011
44,0101100,0000111100
45,0101101,0000111101
46,0101110,0000111110
47,0101111,0001000001
48,0110000,0001000010
49,0110001,0001000011
50,0110010,0001000100
51,0110011,0001000101
52,0110100,0001000110
53,0110101,0001000111
54,0110110,0001001000
55,0110111,0001001001
56,0111000,0001001010
57,0111001,0001001011
58,0111010,0001001100
59,0111011,0001001101
60,0111100,0001001110
61,0111101,0001001111
62,0111110,0001010000
63,0111111,0001010001
64,1000000,0001010010
65,1000001,0001010011
66,1000010,0001010100
67,1000011,0001010101
68,1000100,0001010110
69,1000101,0001010111
70,1000110,0001011000
71,1000111,0001011001
72,1001000,0001011010
73,1001001,0001011011
74,1001010,0001011100
75,1001011,0001011101
76,1001100,0001011110
77,1001101,0001011111
78,1001110,0001100000
79,1001111,0001100001
80,1010000,0001100010
81,1010001,0001100011
82,1010010,0001100100
83,1010011,0001100101
84,1010100,0001100110
85,1010101,0001100111
86,1010110,0001101000
87,1010111,0001101001
88,1011000,0001101010
89,1011001,0001101011
90,1011010,0001101100
91,1011011,0001101101
92,1011100,0001101110
93,1011101,0001101111
94,1011110,0001110000
95,1011111,0001110001
96,1100000,0001110010
97,1100001,0001110011
98,1100010,0001110100
99,1100011,0001110101
100,1100100,0001110110
101,1100101,0001110111
102,1100110,0001111000
103,1100111,0001111001
104,1101000,0001111010
105,1101001,0001111011
106,1101010,0001111100
107,1101011,0001111101
108,1101100,0010000010
109,1101101,0010000011
110,1101110,0010000100
111,1101111,0010000101
112,1110000,0010000110
113,1110001,0010000111
114,1110010,0010001000
115,1110011,0010001001
116,1110100,0010001010
117,1110101,0010001011
118,1110110,0010001100
119,1110111,0010001101
120,1111000,0010001110
121,1111001,0010001111
122,1111010,0010010000
123,1111011,0010010001
124,1111100,0010010010
125,1111101,0010010011
126,1111110,0010010100
127,1111111,0010010101
